Datetime Id(GSM_CELL),Moid(GSM_CELL),Bsc(GSM_CELL),ID,小区名,网格九分区,网格,无线接入性,下行TBF建立成功率,切换成功率,每Erl掉话数,上行6-7级质差话务比例（六忙时）,下行6-7级质差话务比例（六忙时）,GSM质差话务占比(六忙时),GSM上下行质差话务比例,最差小区次数,高掉话最差小区次数,高拥塞最差小区次数,寻呼成功率,TCH话务量,半速率比例,随机接入成功率,TCH拥塞率(考核算法),话务掉话比,上行底噪,EDGE下行速率,GPRS下行速率,掉话率(最差小区考核算法),TCH掉话率(不含切换),干扰系数,总流量(MB),PDCH使用数,TCH信道完好率,TCH定义信道数,TCH可用信道数,SDCCH指配成功率,SDCCH拥塞率,SDCCH掉话率,TCH指配成功率,PDCH下行复用度(旧),PDCH下行复用度(新),寻呼拥塞总数,信道利用率,TBF掉线率,上行覆盖率,下行覆盖率,高干扰小区数(4-5级干扰>30%),上行高质差小区数(6-7级质差>5%),下行高质差小区数(6-7级质差>5%),小区数,上行6-7级质差话务比例（六忙时-室内）,下行6-7级质差话务比例（六忙时-室内）,上行6-7级质差话务比例（六忙时-室外）,下行6-7级质差话务比例（六忙时-室外）,GSM语音质量,高流量小区个数,TBF下行申请数,TCH掉话次数,TCH申请数,上行弱信号掉话,下行弱信号掉话,双向弱信号掉话,上行质差掉话,下行质差掉话,双向质差掉话,TA掉话,突然掉话,
2016/2/8,ZS1GJC1,GZM19A,ZG24708,广河井口冚村,增城,G.8.3,0.9994401,0.9999565,0.9974271,0.0932401,0.004627891,0.01309676,,0.01772465,,,,,21.45,0.241958,0.9994401,0,429,0.002865813,131.6688,6.230576,0.001616379,0.002832861,1.011295,585.2446,89.11,1,156,156,0.9994401,0,0.001134859,1,1.783315,1.169749,0,0.9449573,0.02274924,0.9081491,0.8673912,0,0,0,1,,,0.004627891,0.01309676,,1,114842,2,706,0,1,0,0,0,0,0,1,
2016/2/8,ZS1GJC2,GZM19A,ZG24709,广河井口冚村,增城,G.8.3,0.9993218,1,0.9913112,0.2382087,0.009458005,0.02094755,,0.03040556,,,,,20.99,0.00714626,0.9993218,0,209.9,0.001315106,126.9799,7.05382,0.00204918,0.008223685,1.012736,268.7676,50.14,1,168,168,0.9993218,0,0.002360081,1,1.602349,1.139367,0,0.5645238,0.009939699,0.9282664,0.9261353,0,0,0,1,,,0.009458005,0.02094755,,1,63511,5,608,0,0,2,1,1,1,0,0,
2016/2/8,ZS1GJC3,GZM19A,ZG24710,广河井口冚村,增城,G.8.3,0.9950504,0.9933422,0.9955685,0.1880739,0.02339615,0.02041375,,0.0438099,,,,,90.39,0.02854298,0.9949579,0,271.17,0.000319461,55.76554,36.55249,0.00178444,0.004916137,1.139895,680.9798,89.25,1,336,336,0.9950504,0,0.003785426,1,3.816272,1.834539,0,0.7128571,0.01850563,0.9139844,0.8451209,0,0,0,1,,,0.02339615,0.02041375,,1,291689,17,3458,0,0,9,1,3,0,0,4,
2016/2/9,ZS1GJC1,GZM19A,ZG24708,广河井口冚村,增城,G.8.3,0.9991001,0.9999607,0.9938102,0.1382488,0.01335058,0.01502568,,0.02837626,,,,,21.7,0.337788,0.9991001,0,325.5,0.005392242,122.6244,12.90511,0.001819009,0.003856041,1.028005,534.5073,91.07,1,156,156,0.9991001,0,0.00273224,1,1.807828,1.147692,0,0.9638461,0.01780438,0.9337668,0.9172888,0,0,0,1,,,0.01335058,0.01502568,,1,127041,3,778,0,0,3,0,0,0,0,0,
2016/2/9,ZS1GJC2,GZM19A,ZG24709,广河井口冚村,增城,G.8.3,0.9996861,0.9999703,0.9928548,0.3433476,0.00945221,0.01905889,,0.0285111,,,,,23.3,0.01459227,0.9996861,0,174.75,0.0002472275,121.0431,13.91389,0.002183406,0.01003764,1.007664,265.55,48.23,1,168,168,0.9996861,0,0.003087373,1,1.776792,1.170897,0,0.5676984,0.01325674,0.9471551,0.9508902,0,0,0,1,,,0.00945221,0.01905889,,1,67410,8,797,1,0,5,0,0,0,0,2,
2016/2/9,ZS1GJC3,GZM19A,ZG24710,广河井口冚村,增城,G.8.3,0.9954473,0.9910195,0.9929106,0.1649971,0.02403859,0.01541064,,0.03944924,,,,,84.85,0.005657042,0.9965768,0,299.4706,0.002036606,60.94172,32.58181,0.00154827,0.003806417,1.277693,592.7094,97.01,1,336,336,0.9965299,0,0.003092328,0.9989136,3.256864,1.57354,6,0.7216667,0.02217535,0.9402772,0.8714435,0,0,0,1,,,0.02403859,0.01541064,,1,270140,14,3678,0,2,10,0,1,0,0,1,
2016/1/14,ZS1GJC1,GZM19A,ZG24708,广河井口冚村,增城,G.8.3,0.9993513,1,0.9940886,0.0618047,0.006449438,0.01121859,,0.01766802,,,,,16.18,0,0.9990269,0,485.4,0,142.2646,9.263899,0.001413428,0.00209205,1.002569,147.7763,39.16,1,156,156,0.9993513,0,0.002948886,1,1.260151,1.03362,0,0.4729915,0.0167282,0.9682365,0.9344552,0,0,0,1,,,0.006449438,0.01121859,,0,38456,1,478,0,0,1,0,0,0,0,0,
2016/6/21,ZS1GJC1,GZM19A,ZG24708,广河井口冚村,增城,G.8.3,0.9972344,0.999967,0.9969199,0.1674107,0.007488508,0.01789168,0.0126901,,,,,,17.92,0,0.9988692,0,268.8,0,133.4462,3.678771,0.002554278,0.004918033,1.000332,136.7432,32.55,1,26,26,0.9988692,0,0.0007613247,0.9983633,1.273919,1.025998,0,0.4313675,0.01135969,0.9041446,0.8493404,0,0,0,1,,,,,0.9873099,0,30350,3,610,0,0,2,0,0,0,0,1,
2016/6/21,ZS1GJC2,GZM19A,ZG24709,广河井口冚村,增城,G.8.3,0.9987091,1,0.988054,0.1386322,0.008341691,0.01305044,0.01069607,,,,,,21.64,0,0.9987091,0,259.68,0.001193227,124.8948,3.154406,0.001597955,0.004424779,1.024296,60.61308,24.09,1,28,28,0.9987091,0,0.003455724,1,1.255448,1.031573,0,0.3629365,0.01030085,0.9537674,0.9594647,0,0,0,1,,,,,0.9893039,0,23869,3,678,1,0,1,0,1,0,0,0,
2016/6/21,ZS1GJC3,GZM19A,ZG24710,广河井口冚村,增城,G.8.3,0.9982339,0.9999016,0.9951313,0.135483,0.01225481,0.0177427,0.01499876,,,,,,73.81,0,0.9999235,0,369.05,1.636768E-05,84.53401,7.832423,0.001417434,0.00338524,1.001964,319.3682,68.75,1,56,56,0.9999235,0,0.00362263,0.9983103,2.228969,1.229308,0,0.5657143,0.02183437,0.843982,0.8028825,0,0,0,1,,,,,0.9850013,1,132070,10,2954,1,0,4,0,1,0,0,4,
